x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y,mode
-1.025468918434663257e+00,-8.127938432150738635e-02,-2.470033531417677786e+00,-3.983295997122576537e+00,-1.080781857947993863e-01,3.152811243752975834e+00,-4.362046143269979748e-01,2.446442888422494910e+00,-1.134033709070491724e+00,7.662125113447741942e-01,2.174366145122158755e+00,1.000000000000000000e+00
-3.758367082695708850e-01,1.179763916385489608e+00,-2.958988504791400853e+00,-2.108601446918460631e+00,-1.411377656768106670e+00,5.478010555983030549e-01,4.323793498292002879e-01,2.394261507083688123e-01,-3.505960016138481294e-01,4.572330809144812269e-01,8.731959872641703591e-01,1.000000000000000000e+00
1.041287940330183792e+00,8.793765903949937179e-01,-3.298029355337787738e+00,-2.001757185498987734e+00,2.077264136517602278e-01,2.005465910957398901e+00,2.308369122204692037e+00,9.729103171726251054e-01,-1.652351327331258002e+00,-2.106212358825168884e+00,-1.503466519406591040e+00,1.000000000000000000e+00
1.002125909213115618e+00,1.538187522083558800e+00,-5.844822086371625147e+00,-3.186002330546060968e+00,1.194543235889115929e+00,2.905780128513402172e-01,5.845413365520292226e-01,8.365324964621559944e-01,-5.743065123585986420e-01,-8.105022573825437782e-01,-1.724194220608044725e+00,1.000000000000000000e+00
2.987390267137398081e-01,1.760808290147542809e+00,-1.400110691904072446e+00,-1.521457715071966588e+00,-5.614463013126899105e-01,9.771472637685391094e-01,1.023759916951148430e+00,1.705727571966075828e+00,-3.383018689810228241e-01,6.359998944762954021e-02,1.879289931062753105e-01,1.000000000000000000e+00
-2.325418484381230888e-01,3.367927973122775143e-01,-4.576184246942903044e+00,-3.272912068616770753e+00,-6.580513064126725098e-01,1.887251125885631708e+00,1.469878486868781753e+00,1.776367546611793191e+00,-1.181052217677540428e+00,2.437406011508175263e-01,3.561890418820560233e-01,1.000000000000000000e+00
7.307387454607421340e-01,1.942960610420308765e+00,-4.753767033340608350e+00,-3.413935711164303832e+00,1.724609092793575993e+00,1.310911999835932651e+00,1.660192445265811223e+00,1.465789899313414635e+00,-3.052013022005558796e+00,-3.214615526383284294e-01,-2.073956812879212741e+00,1.000000000000000000e+00
4.317761782296141715e-01,2.220623564237589775e+00,-3.910850038382307492e+00,-4.221163646933144165e+00,-1.065777426304491682e+00,1.829852025862146681e+00,6.482882800923910338e-01,1.041852335558363096e+00,-9.024015439088415302e-01,5.819010059946277957e-01,8.931970809540599188e-01,1.000000000000000000e+00
3.692266011681072380e-01,1.569323947915788775e+00,-3.344701307203663099e+00,-3.473209110648448394e+00,9.107733400069102370e-01,1.685967682298288972e+00,5.661117725010358370e-01,2.464946787643577331e+00,-6.984352573174799073e-01,-1.586421452501414198e-01,-6.990876182070548950e-02,1.000000000000000000e+00
1.704229861843025162e-01,2.163386407669230405e+00,-5.269158223559065490e+00,-4.739446169588206637e+00,2.063123647597913113e+00,1.480662162134086524e+00,-6.995766949536386115e-02,7.885082301923811432e-01,-1.171518959255187564e+00,9.013171830089583558e-02,-9.767254561232487919e-01,1.000000000000000000e+00
-2.781703909472164060e-01,2.250037400401139198e-02,-6.589540749492838856e+00,-3.663604010201679806e+00,1.526794816648519459e+00,1.033482794269197313e+00,-6.313822446009552669e-01,1.057524873427957868e+00,-1.046420669539933845e+00,1.031980418652125087e+00,1.007571231245555643e-01,1.000000000000000000e+00
9.795776571385157450e-01,1.656584442898560106e+00,-4.663510486816099032e+00,-2.586136084770518373e+00,-1.541180679447186286e+00,-1.110725332610020821e-01,1.160977239883108858e+00,-9.121460287311355941e-02,-3.909312062884650607e-01,-1.659171901097289181e+00,-5.815036689495134414e-01,1.000000000000000000e+00
-4.659684448365967735e-01,-5.081964071150051332e-01,-4.021246866613735982e+00,-2.648636453429534576e+00,-1.665175855761282797e+00,2.495516783178469922e+00,4.432139550135968942e-01,1.802589279199666716e+00,-1.255532560777707918e-01,-1.053388713710042834e+00,2.001334998021360612e+00,1.000000000000000000e+00
-9.976860612113298554e-01,1.361256168258853982e+00,-3.334084975027816977e+00,-1.807208410677920263e+00,2.137641997990947507e-01,7.793736366436446739e-01,-8.705138804026505417e-01,3.150544123613705505e+00,-9.200815459729665413e-01,4.565288417759244544e-05,1.192318234380469910e+00,1.000000000000000000e+00
1.397201039999292016e+00,4.261917901780755136e-01,-4.771979795096768839e+00,-3.314703529800531179e+00,9.851441502594604493e-02,1.475242106804961262e+00,-1.081783954477622545e-01,4.719387828428762699e-01,-6.153040676601241321e-01,6.515460997634859863e-01,-1.421586496149895851e-01,1.000000000000000000e+00
6.563222707006858281e-01,2.875516451093593773e+00,-6.227288168382624889e+00,-6.567640588023929027e+00,1.273915604000815716e+00,3.938997900147508169e+00,1.004994810113961856e+00,3.780943482229075059e+00,-2.461208004551926010e+00,6.347687101612091709e-01,8.106003631530424025e-01,1.000000000000000000e+00
